title,reviews,price,variant_price,stars,img_link,availability
"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 128GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","1,244 ratings",,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_SX342_SY445_.jpg,Only 15 left in stock - order soon
"2021 Apple 11-inch iPad Pro (Wi‑Fi, 128GB) - Silver (Renewed)",803 ratings,$619.95,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81kXSgs+eFL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gold (Renewed)",337 ratings,$219.00,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/91xk0o++tdL._AC_SY300_SX300_.jpg,Only 14 left in stock - order soon.
,,,,,,
"2020Apple iPad Pro (11-inch, Wi-Fi, 128GB) - Space Gray (Renewed)",519 ratings,$569.00,$569.95,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81zpCCNnByL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro 2018 (11-inch, Wi-Fi + Cellular 64GB) - Space Gray (Renewed)","3,344 ratings",$399.99,$408.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61Yi57fkX7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro (128GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)","1,181 ratings",$378.00,$348.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/81R3IhW3yUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"2018 Apple iPad Pro (12.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Renewed)","3,578 ratings",$547.00,$549.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/614mkvkYdmL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon.
iPad Pro5 12.9in 1TB Silver WiFi,928 ratings,$938.93,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81Lg76GZ3ML.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Silver (Renewed)",632 ratings,$169.99,$174.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/91xKRosDu2L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 20 left in stock - order soon.
"2020 Apple iPad Pro (12.9-inch, Wi-Fi, 128GB) - Space Gray (Renewed)","1,640 ratings",$679.95,$679.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/81a-vuydLTL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"APPLE MP6G2LL/A iPad Pro with Wi-Fi 256GB, 12.9in, Space Grey (Renewed)",8 ratings,$429.00,,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71MhUZFdqNL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro Tablet (128GB, LTE, 9.7in) Space Gray (Renewed)",514 ratings,$215.00,$215.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61t6leLWBqL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Gold (Renewed)",273 ratings,$183.00,$188.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91xk0o++tdL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
"iPad Pro 9.7-inch (128GB, Wi-Fi + 4G LTE Cellular, Space Gray) MLQ32LL/A 2016 Model (Renewed)",313 ratings,$209.47,$202.68,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71ZQCCJkYXL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"2017 Apple iPad Pro (10.5-inch, Wi-Fi, 64GB) - Silver (Renewed)",230 ratings,$239.00,$245.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71ajJ5a+-tS._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
"2020 Apple iPad Pro 2nd Gen (11 inch, Wi-Fi + Cellular, 128GB) Space Gray (Renewed)",271 ratings,$594.95,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/81cqAewulzL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 6 left in stock - order soon.
,,,,,,
"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 128GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","1,244 ratings",,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_SX342_SY445_.jpg,Only 15 left in stock - order soon
"2021 Apple 11-inch iPad Pro (Wi‑Fi, 128GB) - Silver (Renewed)",803 ratings,$619.95,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81kXSgs+eFL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro 11-inch (4th Generation): with M2 chip, Liquid Retina Display, 256GB, Wi-Fi 6E + 5G Cellular, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","1,223 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81WWJj1RedL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"Apple iPad Pro 2018 (11-inch, Wi-Fi + Cellular 64GB) - Space Gray (Renewed)","3,344 ratings",$399.99,$408.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61Yi57fkX7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 256GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","1,244 ratings",,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_SX342_SY445_.jpg,Only 5 left in stock - order soon
"2022 Apple iPad Pro (12.9-inch, Wi-Fi, 256GB) - Space Gray (Renewed)",41 ratings,"$1,149.00","$1,149.00",4.4 out of 5 stars,https://m.media-amazon.com/images/I/718qlagXJRL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 10 left in stock - order soon.
"Apple 2021 12.9-inch iPad Pro (Wi‑Fi, 256GB) - Silver","6,057 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/815KnP2wjDS.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"2021 Apple iPad Pro (12.9-Inch, Wi-Fi, 512GB) - Silver (Renewed)",928 ratings,$919.91,$909.95,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81Lg76GZ3ML.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Silver (Renewed)",521 ratings,$214.00,$214.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/91xKRosDu2L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro 12.9in Tablet (256GB Wi-FI, Space Gray)(Renewed)","1,630 ratings",$532.00,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61GO97DP3VL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Currently unavailable
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 256GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver","132,592 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61PnHlc0HCL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Currently unavailable
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Purple","10,315 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61k05QwLuML.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"Apple iPad Mini (6th Generation): with A15 Bionic chip, 8.3-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Space Gray","8,028 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/71ey-9D8yDL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 17 left in stock - order soon
"Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad, Smart Connector - Oxford Gray; USA Layout","2,320 ratings",,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71dmlPk0IyS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"Stylus Pen for iPad 9th&10th Generation - 10Mins Faster Charge Stylus for iPad Pencil, Pen for iPad Compatible with (2018-2023) iPad 6-10th Gen, iPad Air 3-5, iPad Mini 5/6, iPad Pro 11""/12.9""",564 ratings,,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/51tMAm7GnmL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),"6,483 ratings",$158.00,$158.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61aeen0K1NL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 11 left in stock - order soon.
"2021 Apple iPad (10.2-inch, Wi-Fi, 64GB) - Space Gray (Renewed)","1,243 ratings",$341.95,$341.95,4.6 out of 5 stars,https://m.media-amazon.com/images/I/51mV0IWAZwL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 8 left in stock - order soon.
"Amazon Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, (2021 release), named ""Best Tablet for Big Kids"" by Good Housekeeping, Intergalactic","14,453 ratings",,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/71h3WD4NL0S._AC_SY300_SX300_.jpg,Currently unavailable
"USB C Headphones for iPad Pro,USB Type C Earphones HiFi Stereo USB C Wired Earbuds with Microphone Volume Control for Samsung S23 Ultra S22 S21 Note20 A54 A53 Z Flip Fold,Pixel 7 6 6a 5 4,OnePlus 10 9","1,797 ratings",,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61RE5J9gHBS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"iPad Pro Charger, Apple Tablet Charger Type C USB C Fast Charger PD Wall Charger Plug Block & 6FT USB C to C Charging Cable Compatible with iPad Pro 12.9 2021/20/18, iPad Pro 11 Gen 3/2/1,iPad Air 4th",913 ratings,,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/3153T0+IUBL._SX342_SY445_.jpg,Currently unavailable
"Stylus Pen for iPad,Ipad Pencil 2nd Generation,Apple Pencil,Smart Touch Switch,Compatible with(2018-2023) Magnetic iPad 6-10,iPad Mini 5/6,iPad Air 3-5,iPad Pro 11""/12.9""",139 ratings,,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51GXozpONaL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"Fintie SlimShell Case for iPad Pro 11-inch (4th / 3rd Generation) 2022/2021 - Soft Flexible TPU Stand Back Cover with Pencil Holder, Also Fit iPad Pro 11"" 2nd / 1st Gen, Composition Book","2,565 ratings",,,4.7 out of 5 stars,https://m.media-amazon.com/images/I/81-xJANbY7L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"ESR for iPad Pro 12.9 Case, iPad 12.9 Pro Folio Case (2022/2021, 6th/5th Generation) with Pencil Holder, Detachable Magnetic Cover, Vertical Stand, Rebound 360 Series, Black","1,715 ratings",,,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71aMs37mBML.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"BongBingBoo iPad Pro Stand, Adjustable Tablet Holder Magnetic Cradle Mount Dock for Apple iPad Pro 12.9'' 3rd/4th/5th/6th Generation - Gray",511 ratings,,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81s71fkfyOL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Only 6 left in stock - order soon
"Logitech Combo Touch iPad Pro 11-inch (1st, 2nd, 3rd, 4th gen - 2018, 2020, 2021, 2022) Keyboard Case - Detachable Backlit Keyboard, Click-Anywhere Trackpad - Oxford Gray; USA Layout","1,818 ratings",,,4.5 out of 5 stars,https://m.media-amazon.com/images/I/7157JTjtfFS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Rose (Renewed)",718 ratings,$229.00,$229.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91QlrgIeLOL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
Apple iPad Pro 10.5in - 256GB Wifi - 2017 Model - Gray (Renewed),629 ratings,$295.00,$290.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71L+DGdHyWL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Gold (Renewed)",273 ratings,$183.00,$188.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91xk0o++tdL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),"6,483 ratings",$158.00,$158.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61aeen0K1NL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 11 left in stock - order soon.
"2021 Apple iPad (10.2-inch, Wi-Fi, 64GB) - Space Gray (Renewed)","1,243 ratings",$341.95,$341.95,4.6 out of 5 stars,https://m.media-amazon.com/images/I/51mV0IWAZwL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 8 left in stock - order soon.
"2017 Apple iPad Pro (10.5-inch, Wi-Fi, 64GB) - Silver (Renewed)",230 ratings,$239.00,$245.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71ajJ5a+-tS._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro (128 GB, Wi-Fi + Cellular, Space Gray) - 12.9-inch Display (Renewed)",96 ratings,$401.28,$401.28,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61EE8pUCpDL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 19 left in stock - order soon.
"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Latest Model, 4th Generation) (Renewed)",46 ratings,$505.00,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61COdmZ8vgL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"2018 Apple iPad (9.7-inch, Wi-Fi, 128GB) - Space Gray (Renewed Premium)",6 ratings,$238.76,,5.0 out of 5 stars,https://m.media-amazon.com/images/I/81qK4+EC+cL._AC_SY300_SX300_.jpg,Only 3 left in stock - order soon.
"Apple iPad Pro (32GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)",402 ratings,$349.00,$348.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/91X91LF4xxL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)","1,079 ratings",$166.99,$169.95,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71r8LEuR-kL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro 10.5in (2017) 64GB, Wi-Fi - Space Gray (Renewed)",171 ratings,$232.99,$234.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61YxUI8IVgL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple 2021 12.9-inch iPad Pro (Wi‑Fi, 2TB) - Silver","6,057 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/815KnP2wjDS.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 16 left in stock - order soon
Apple iPad Pro 10.5in 64GB WiFi Rose Gold (2017) (Renewed),343 ratings,$779.00,$779.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71isZlb70HL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon.
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink","5,426 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61hZrbHRMWL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Currently unavailable
,,,,,,
"Apple 2022 12.9-inch iPad Pro (Wi-Fi, 128GB) - Space Gray (6th Generation) (Renewed)",41 ratings,"$1,024.00","$1,024.00",4.4 out of 5 stars,https://m.media-amazon.com/images/I/81c+9BOQNWL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
"Apple 2020 iPad Pro (11-inch, Wi-Fi, 256GB) - Silver(2nd Generation)","7,327 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/81lqq8UF5ML.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
"Stylus Pen for iPad,Ipad Pencil 2nd Generation,Apple Pencil,Smart Touch Switch,Compatible with(2018-2023) Magnetic iPad 6-10,iPad Mini 5/6,iPad Air 3-5,iPad Pro 11""/12.9""",139 ratings,,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51GXozpONaL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
Apple iPad Air 10.5-inch (3rd Gen) Tablet A2152 (Wi-Fi Only) - 64GB / Space Gray (Renewed),"2,197 ratings",$229.99,$239.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61deD07VqIL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon.
"iPad Pro 9.7-inch (128GB, Wi-Fi + 4G LTE Cellular, Space Gray) MLQ32LL/A 2016 Model (Renewed)",313 ratings,$209.00,$202.68,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71ZQCCJkYXL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 14 left in stock - order soon.
"Apple iPad Air (10.9-inch, Wi-Fi + Cellular, 256GB) - Space Gray (Latest Model, 4th Generation) (Renewed)",46 ratings,$505.00,,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61COdmZ8vgL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"ALLDOCUBE Android 13 Tablet, 1200 * 1920 in-Cell 8.4 inch Tablet, 8-core Gaming Tablet, 12GB(4+8)+64GB 512GB Expandable WiFi Tablet, iPlay 50 Mini Support 4G LTE, BT5.0 5MP/5MP, Tablet for Kids",8 ratings,,,5.0 out of 5 stars,https://m.media-amazon.com/images/I/71TlCfrurHL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"USB C Headphones for iPad Pro,USB Type C Earphones HiFi Stereo USB C Wired Earbuds with Microphone Volume Control for Samsung S23 Ultra S22 S21 Note20 A54 A53 Z Flip Fold,Pixel 7 6 6a 5 4,OnePlus 10 9","1,797 ratings",,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61RE5J9gHBS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"XNMOA Type C Wired Earbuds Headphones with Microphone,USB C Earphones with Volume Control&Support Call,Compatible with Samsung Galaxy S23 Ultra, S23+, iPad Pro MacBook,Most USB C Devices,White",91 ratings,,,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51uHZ1NtyZL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"iPad Air Pencil with Palm Rejection, PERMARK Stylus Pen Compatible with (2018-2023) Apple iPad Pro (11/12.9 Inch),iPad Air 3rd/4th/5th Gen,iPad 6/7/8/9th Gen,iPad Mini 5/6th Gen (Purple)","1,016 ratings",,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41Hpg-PFRSL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Rose (Renewed)",718 ratings,$229.00,$229.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91QlrgIeLOL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
Apple iPad Pro 10.5in - 256GB Wifi - 2017 Model - Gray (Renewed),629 ratings,$295.00,$290.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71L+DGdHyWL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro (32GB, Wi-Fi + Cellular, Rose) 9.7in Tablet (Renewed)",152 ratings,$209.01,$209.01,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91e9gaqsSeL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 17 left in stock - order soon.
"Microsoft Surface Pro 9 (2022), 13"" 2-in-1 Tablet & Laptop, Thin & Lightweight, Intel 12th Gen i5 Fast Processor for Multi-Tasking, 8GB RAM, 256GB Storage with Windows 11, Platinum",418 ratings,,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51iazuN-+TL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon
Apple iPad Pro 12.9in (5th Gen.) - 256GB - WiFi - Space Gray (Renewed Premium),10 ratings,$848.74,,3.2 out of 5 stars,https://m.media-amazon.com/images/I/81nmWyBkKhL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro Tablet (32GB, Wi-Fi, 9.7in) Gold (Renewed)",273 ratings,$183.00,$188.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/91xk0o++tdL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
"Mid 2017 Apple 10.5 inches iPad Pro (256GB, Wi-Fi + 4G LTE, Space Gray) (Renewed)",198 ratings,$318.97,$289.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/514CNHVs7NL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 8 left in stock - order soon.
Apple iPad Pro 12.9in (5th Gen.) - 256GB - WiFi - Space Gray (Renewed Premium),10 ratings,$848.74,,3.2 out of 5 stars,https://m.media-amazon.com/images/I/81nmWyBkKhL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"Apple iPad Pro (32GB, Wi-Fi + Cellular, Gray) 9.7in Tablet (Renewed)",277 ratings,$188.99,$188.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/6121xYVkJlL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
"UGREEN USB C Charger 65W Nexode 3 Ports GaN Fast Charger Block, Compact Foldable Wall Charger Compatible with MacBook Pro/Air, Dell XPS, iPhone 14, iPad Pro, Galaxy S23, Pixel 7, Steam Deck (Black)","2,977 ratings",,,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61Vi-xax+RL._AC_SY300_SX300_.jpg,Currently unavailable
"2018 Apple iPad (9.7-inch, Wi-Fi, 128GB) - Space Gray (Renewed Premium)",6 ratings,$238.76,,5.0 out of 5 stars,https://m.media-amazon.com/images/I/81qK4+EC+cL._AC_SY300_SX300_.jpg,Only 3 left in stock - order soon.
Apple iPad Pro 12.9in (5th Gen.) - 128GB - WiFi - Silver (Renewed Premium),6 ratings,$849.00,,4.1 out of 5 stars,https://m.media-amazon.com/images/I/815KnP2wjDS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
"Apple 2021 12.9-inch iPad Pro (Wi‑Fi, 2TB) - Silver","6,057 ratings",,,4.8 out of 5 stars,https://m.media-amazon.com/images/I/815KnP2wjDS.__AC_SY445_SX342_QL70_FMwebp_.jpg,Only 16 left in stock - order soon
"Apple iPad Pro Tablet (128GB, LTE, 9.7in) Rose Gold (Renewed)",132 ratings,$344.00,$219.99,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61bPIWUuIEL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
"Apple iPad Pro Tablet (128GB, Wi-Fi, 9.7in) Gray (Renewed)","2,284 ratings",$234.00,$234.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51uJ9-J4JhL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
